arroyo,n. a stream or brook
vaporize,"v kill with or as if with a burst of gunfire or electric current or as if by shooting
v turn into gas
v lose or cause to lose liquid by vaporization leaving a more concentrated residue
v decrease rapidly and disappear"
yeast,"n. a commercial leavening agent containing yeast cells; used to raise the dough in making bread and for fermenting beer or whiskey
n. any of various single-celled fungi that reproduce asexually by budding or division"
defoliant,n. a chemical that is sprayed on plants and causes their leaves to fall off
desalinize,v remove salt from
icing,n. (ice hockey) the act of shooting the puck from within your own defensive area the length of the rink beyond the opponent's goal
miscellany,"n a collection containing a variety of sorts of things
n an anthology of short literary pieces and poems and ballads etc."
saliferous,s. containing or yielding salt
nicotine,n. an alkaloid poison that occurs in tobacco; used in medicine and as an insecticide
herpetologist,n. a zoologist who studies reptiles and amphibians
ornithologist,n. a zoologist who studies birds
anthropoid,"n. person who resembles a nonhuman primate
n. any member of the suborder Anthropoidea including monkeys and apes and hominids
s. resembling apes"
caterpillar,"n. a wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth
n. a large tracked vehicle that is propelled by two endless metal belts; frequently used for moving earth in construction and farm work"
gaggle,"n. a flock of geese
v. make a noise characteristic of a goose"
amphibian,"n. a flat-bottomed motor vehicle that can travel on land or water
n. an airplane designed to take off and land on water
n. cold-blooded vertebrate typically living on land but breeding in water; aquatic larvae undergo metamorphosis into adult form"
antenna,"n. an electrical device that sends or receives radio or television signals
n. sensitivity similar to that of a receptor organ
n. one of a pair of mobile appendages on the head of e.g. insects and crustaceans; typically sensitive to touch and taste"
badger,"n. sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere
v. persuade through constant efforts"
biped,n. an animal with two feet
brood,"n. the young of an animal cared for at one time
v. think moodily or anxiously about something
v. hang over, as of something threatening, dark, or menacing
v. sit on (eggs)"
canary,"n. a female singer
n. any of several small Old World finches
s. having the color of a canary; of a light to moderate yellow"
canine,"n. one of the four pointed conical teeth (two in each jaw) located between the incisors and the premolars
n. any of various fissiped mammals with nonretractile claws and typically long muzzles
a. of or relating to a pointed conical tooth"
carapace,n. hard outer covering or case of certain organisms such as arthropods and turtles
carnivorous,"a. relating to or characteristic of carnivores
a. (used of plants as well as animals) feeding on animals"
carp,"n. the lean flesh of a fish that is often farmed; can be baked or braised
n. any of various freshwater fish of the family Cyprinidae"
centaur,n. (classical mythology) a mythical being that is half man and half horse
chameleon,"n. a changeable or inconstant person
n. lizard of Africa and Madagascar able to change skin color and having a projectile tongue"
chimera,"n. (Greek mythology) fire-breathing female monster with a lion's head and a goat's body and a serpent's tail; daughter of Typhon
n. a grotesque product of the imagination"
chipmunk,n. a burrowing ground squirrel of western America and Asia; has cheek pouches and a light and dark stripe running down the body
clam,"n. burrowing marine mollusk living on sand or mud; the shell closes with viselike firmness
n. flesh of either hard-shell or soft-shell clams
v. gather clams, by digging in the sand by the ocean"
cocoon,"n. silky envelope spun by the larvae of many insects to protect pupas and by spiders to protect eggs
v. retreat as if into a cocoon, as from an unfriendly environment
v. wrap in or as if in a cocoon, as for protection"
cohabit,v. share living quarters; usually said of people who are not married and live together as a couple
cougar,n. large American feline resembling a lion
crab,"n. decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers
n. a quarrelsome grouch
n. the edible flesh of any of various crabs
n. a stroke of the oar that either misses the water or digs too deeply"
croak,"n. a harsh hoarse utterance (as of a frog)
v. utter a hoarse sound, like a raven"
cub,"n. an awkward and inexperienced youth
n. a male child (a familiar term of address to a boy)
n. the young of certain carnivorous mammals such as the bear or wolf or lion
v. give birth to cubs"
den,"n. a unit of 8 to 10 cub scouts
n. a room that is comfortable and secluded"
dormancy,n. a state of quiet (but possibly temporary) inaction
dormant,"s. in a condition of biological rest or suspended animation
a. (of e.g. volcanos) not erupting and not extinct
s. lying with head on paws as if sleeping"
down,"n. soft fine feathers
n. (American football) a complete play to advance the football
n. English physician who first described Down's syndrome (1828-1896)
n. (usually plural) a rolling treeless highland with little soil"
drove,"n. a group of animals (a herd or flock) moving together
n. a moving crowd
n. a stonemason's chisel with a broad edge for dressing stone"
duckling,"n. flesh of a young domestic duck
n. young duck"
equine,"n. hoofed mammals having slender legs and a flat coat with a narrow mane along the back of the neck
a. resembling a horse
a. of or belonging to the family Equidae"
ewe,"n. a member of a people living in southern Benin and Togo and southeastern Ghana
n. a Kwa language spoken by the Ewe in Ghana and Togo and Benin
n. female sheep"
