fray,v. wear away by rubbing
terse,"s brief and to the point; effectively cut short; `yes'"""
nautical,a. relating to or involving ships or shipping or navigation or seamen
embankment,n. a long artificial mound of stone or earth; built to hold back water or to support a road or as protection
marquee,n. permanent canopy over an entrance of a hotel etc.
verve,n an energetic style
undertaking,"n. any piece of work that is undertaken or attempted
n. the trade of a funeral director"
earmark,n. identification mark on the ear of a domestic animal
legitimize,v make legal
lug,"n. ancient Celtic god
n. a projecting piece that is used to lift or support or turn something
v. carry with difficulty"
arbitrate,v act between parties with a view to reconciling differences
equilibrium,"n. a stable situation in which forces cancel one another
n. a sensory system located in structures of the inner ear that registers the orientation of the head"
fortify,"v. enclose by or as if by a fortification
v. add nutrients to"
trek,"n. a journey by ox wagon (especially an organized migration by a group of settlers)
n. any long and difficult trip
v. journey on foot, especially in the mountains
v. make a long and difficult journey"
thump,"n. a heavy dull sound (as made by impact of heavy objects)
n. a heavy blow with the hand
v. hit hard with the hand, fist, or some heavy instrument"
vexed,s. causing difficulty in finding an answer or solution; much disputed
scour,"n. a place that is scoured (especially by running water)
v. examine minutely
v. rub hard or scrub"
scowl,v. frown with displeasure
grotesque,"n. art characterized by an incongruous mixture of parts of humans and animals interwoven with plants
s. distorted and unnatural in shape or size; abnormal and hideous"
genteel,s marked by refinement in taste and manners
grove,"n. a small growth of trees without underbrush
n. garden consisting of a small cultivated wood without undergrowth"
impromptu,"n. an extemporaneous speech or remark
n. a short musical passage that seems to have been made spontaneously without advance preparation"
implicit,"a. implied though not directly expressed; inherent in the nature of something
s. being without doubt or reserve"
superfluous,"s serving no useful purpose; having no excuse for being
s more than is needed, desired, or required"
rampant,"s. unrestrained and violent
s. rearing on left hind leg with forelegs elevated and head usually in profile
s. (of a plant) having a lush and unchecked growth"
obdurate,"s stubbornly persistent in wrongdoing
s showing unfeeling resistance to tender feelings"
wrath,"n. intense anger (usually on an epic scale)
n. belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)"
fitful,"s. occurring in spells and often abruptly
s. intermittently stopping and starting"
deity,n. any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force
venerable,s. impressive by reason of age
creed,n. any system of principles or beliefs
tackle,"n. the person who plays that position on a football team
n. (American football) a position on the line of scrimmage
n. (American football) grasping an opposing player with the intention of stopping by throwing to the ground
v. seize and throw down an opponent player, who usually carries the ball"
atheist,"n. someone who denies the existence of god
a. related to or characterized by or given to atheism"
trying,s. hard to endure
pundit,n someone who has been admitted to membership in a scholarly field
judicious,s. marked by the exercise of good judgment or common sense in practical matters
convert,"n. a person who has been converted to another religious or political belief
v. change from one system to another or to a new plan or policy
v. change the nature, purpose, or function of something
v. change religious beliefs, or adopt a religious belief"
asset,n. a useful or valuable quality
panicky,s. thrown into a state of intense fear or desperation
stampede,"n. a headlong rush of people on a common impulse
n. a wild headlong rush of frightened animals (horses or cattle)
v. cause to run in panic
v. cause a group or mass of people to act on an impulse or hurriedly and impulsively"
cliché,none
retrospect,n. contemplation of things past
frantic,s. excessively agitated; distraught with fear or other violent emotion
recuperative,s. promoting recuperation
purported,"v have the often specious appearance of being, intending, or claiming
v propose or intend"
doomsayer,none
quash,"v put down by force or intimidation
v declare invalid"
hubbub,n. loud confused noise from many sources
hue,"n. the quality of a color as determined by its dominant wavelength
v. take on color or become colored"
hub,"n. the central part of a car wheel (or fan or propeller etc) through which the shaft or axle passes
n. a center of activity or interest or commerce or transportation; a focal point around which events revolve"
regression,"n. (psychiatry) a defense mechanism in which you flee from reality by assuming a more infantile state
n. the relation between selected values of x and observed values of y (from which the most probable value of y can be predicted for any value of x)
n. returning to a former state"
refinery,n. an industrial plant for purifying a crude substance
referendum,n. a legislative act is referred for final approval to a popular vote by the electorate
rustle,"n. a light noise, like the noise of silk clothing or leaves blowing in the wind
v. make a dry crackling sound
v. take illegally
v. forage food"
evict,"v. expel or eject without recourse to legal process
v. expel from one's property or force to move out by a legal process"
gurgle,"n. the bubbling sound of water flowing from a bottle with a narrow neck
v. make sounds similar to gurgling water
v. utter with a gurgling sound"
incised,"s. sharply and deeply indented
s. cut into with a sharp instrument"
