alphabet,n.字母表
eat,"v.吃,腐蚀"
listen,"vi.听,听从v.听,收听"
paint,"n.油漆,颜料,涂料v.油漆,(用颜料等)画,绘,描绘,逼真地描述"
play,"n.游戏,比赛,运动,赌博,剧本v.玩,扮演,播放,进行比赛v.播放"
read,"v.读,阅读,理解,学习adj.有学问的n.读取 vbl.read的过去式和过去分词"
sell,"v.出售,卖"
shop,"n.商店,店铺vi.买东西,购货"
sing,"v.唱,演唱"
speak,"v.说话,谈话,说明事实,表示意见,发言,演讲,操(某种语言)"
visit,"n.拜访,访问,游览,参观,(作客)逗留,视察,调查vt.拜访,访问,参观,视察,降临vi.访问,参观,闲谈"
watch TV,
work,"n.工作,劳动,操作,职业,[物]功,手工,作品,机件v.(使)工作,(使)运转,起作用,造成,产生,经营,(使)渐渐移动,煅制"
Brazilian,
Canadian,
Chinese,
Egyptian,
French,
German,
Greek,
Italian,
Japanese,
Korean,
Mexican,
Polish,
Puerto Rican,
Russian,
Spanish,
Portuguese,
English,
French,
Chinese,
Arabic,
French,
German,
Greek,
Italian,
Japanese,
Korean,
Spanish,
Polish,
Spanish,
Russian,
Spanish,
Sunday,
Monday,
Tuesday,
Wednesday,
Thursday,
Friday,
Saturday,
baby-sit,
clean,"adj.清洁的,干净的,清白的v.打扫,使干净,清扫"
do yoga,
go dancing,
jog,"n.轻推,轻撞,漫步v.轻推,(使)蹒跚行进,(使)慢跑"
play volleyball,
ride,"v.骑,乘n.骑,乘"
see a movie,
see a play,
Sunday,
Monday,
Tuesday,
Wednesday,
Thursday,
Friday,
Saturday,
American,
Chinese,
Greek,
Italian,
Japanese,
Mexican,
Puerto Rican,
English,
Chinese,
Greek,
Italian,
Japanese,
Spanish,
Spanish,
active,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的;n.[语法] 主动语态,积极分子"
athletic,adj.运动的
busy,"adj.忙碌的,热闹的,临时占用的"
outgoing,"n.外出,开支,流出adj.即将离职的,对人友好的 喜欢外出的"
popular,"adj.通俗的,流行的,受欢迎的"
shy,"adj.怕羞的,畏缩的,害羞的"
baby-sit,
clean,"adj.清洁的,干净的,清白的v.打扫,使干净,清扫"
do yoga,
go dancing,
jog,"n.轻推,轻撞,漫步v.轻推,(使)蹒跚行进,(使)慢跑"
play volleyball,
ride a bicycle,
see a movie,
see a play,
year,"n.年,年龄,年岁"
month,n.月
week,"n.星期,周"
day,"n.天,白天,日子,白昼,黎明,工作日,节日,重要日子"
weekend,"n.周末,周末休假adj.周末的vi.度周末的"
morning,"n.早晨,上午"
afternoon,"n.午后,下午adv.下午的,晚期"
evening,"n.傍晚,晚间,后期,(联欢性的)晚会"
night,"n.夜,夜晚,黑暗,死亡"
day,"n.天,白天,日子,白昼,黎明,工作日,节日,重要日子"
week,"n.星期,周"
month,n.月
year,"n.年,年龄,年岁"
weekend,"n.周末,周末休假adj.周末的vi.度周末的"
morning,"n.早晨,上午"
afternoon,"n.午后,下午adv.下午的,晚期"
evening,"n.傍晚,晚间,后期,(联欢性的)晚会"
night,"n.夜,夜晚,黑暗,死亡"
long hair,
short hair,
straight hair,
curly hair,
blond hair,
brown hair,
black hair,
brown eyes,
blue eyes,
happy,"adj.快乐的,幸福的,陶醉于...的,恰当的"
sad,"adj.忧愁的,悲哀的"
hungry,"adj.饥饿的,渴望的,荒年的,不毛的"
thirsty,"adj.口渴的,渴望的,热望的"
hot,"adj.热的,热情的,辣的,激动的,紧迫的,节奏强的adv.热,热切的,紧迫地"
cold,"n.寒冷,[物]零下温度,伤风,感冒adj.寒冷的,使人战栗的,冷淡的,不热情的,失去知觉的"
tired,"adj.疲劳的,累的,疲倦的"
sick,"n.病人adj.不舒服,有病的,恶心的,厌恶的,渴望的,病态的vt.呕吐,追击,使狗去咬"
angry,"adj.生气的,愤怒的,狂暴的(风雨等)"
nervous,"adj.神经紧张的,不安的,强健有力的"
scared,adj.恐惧的
embarrassed,
angry,"adj.生气的,愤怒的,狂暴的(风雨等)"
cold,"n.寒冷,[物]零下温度,伤风,感冒adj.寒冷的,使人战栗的,冷淡的,不热情的,失去知觉的"
embarrassed,
happy,"adj.快乐的,幸福的,陶醉于...的,恰当的"
hot,"adj.热的,热情的,辣的,激动的,紧迫的,节奏强的adv.热,热切的,紧迫地"
hungry,"adj.饥饿的,渴望的,荒年的,不毛的"
nervous,"adj.神经紧张的,不安的,强健有力的"
sad,"adj.忧愁的,悲哀的"
scared,adj.恐惧的
sick,"n.病人adj.不舒服,有病的,恶心的,厌恶的,渴望的,病态的vt.呕吐,追击,使狗去咬"
thirsty,"adj.口渴的,渴望的,热望的"
tired,"adj.疲劳的,累的,疲倦的"
bite my nails,
blush,"v.脸红,羞愧,呈现红色,使成红色n.脸红,红色,红光"
cover my eyes,
cry,"vi.哭,流泪v.叫,喊n.哭泣,哭声,叫喊,喊声"
perspire,"v.出汗,流汗,分泌,渗出"
shiver,"v.颤抖,打碎,碎裂n.(无法控制的)颤抖,碎片"
shout,"v.呼喊,呼叫n.呼喊,呼叫"
smile,vi.(～ at) 微笑n.微笑
walk back and forth,
yawn,"v.打呵欠,张开,裂开n.呵欠"
clean,"adj.清洁的,干净的,清白的v.打扫,使干净,清扫"
deliver,"vt.递送,陈述,释放,发表(一篇演说等),交付,引渡,瞄准,给予(打击)"
drive,"n.驾车,驱动器,快车道,推进力,驱使,动力,干劲,击球vt.开车,驱赶,推动、发动(机器等),驾驶(马车,汽车等)vi.开车,猛击,飞跑n.[计]驱动器"
ride a bicycle,
sleep,"vi.睡,睡觉n.睡眠"
study,"n.学习,研究,学科,试作,论文,求学,努力,书房vt.学习,攻读,研究,考虑,计划vi.学习,试图"
sweep,"v.扫,打扫,清扫,席卷,冲光,扫过,掠过"
take the bus,
type,"n.类型,典型,模范,[印刷]活字,铅字v.打字,测定(血等)类型"
use,"vt.使用,利用,耗费n.使用,利用,用途,效用,使用价值"
walk,"vi.步,行,走n.步行,散步,步,行道"
wash,"n.洗,洗涤,冲洗,洗涤剂,洼地,洗的衣服,冲积物vt.洗,洗涤,洗清,粉刷,冲出,弄湿,流过,镀金于vi.洗涤,洗澡,被冲蚀,漂浮adj.耐洗的,(证券交易)虚假的"
actor,"n.男演员,行动者,参与者"
actress,n.女演员
