book store,"na. 〈美〉书店
[网络] 书局；书店购物；在书店"
bus station,n. 公交车站
cafeteria,"n. 自助餐厅
[经] 自助餐厅"
clinic,n. 临床；诊所
department store,"百货公司
[经] 百货商店"
drug store,"药房,杂货店"
hair salon,美发廊
health club, [医]保健俱乐部
hotel,[网络] 旅馆；酒店；昊天
laundromat,"n. 自助洗衣店, 自动洗衣店"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
train station,n. 火车站
video store,音像商店
airport,[机] 通气口
bakery,n. 面包店
bank,"n. 银行, 堤, 岸
[医] 库"
barber shop,理发店
book store,"na. 〈美〉书店
[网络] 书局；书店购物；在书店"
bus station,n. 公交车站
cafeteria,"n. 自助餐厅
[经] 自助餐厅"
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
clinic,n. 临床；诊所
clothing store, 服装商店
department store,"百货公司
[经] 百货商店"
drug store,"药房,杂货店"
fire station,[法] 消防站
gas station,加油站
hair salon,美发廊
health club, [医]保健俱乐部
hospital,"n. 医院
n. (Hospital)人名；(英)霍斯皮特尔"
hotel,[网络] 旅馆；酒店；昊天
laundromat,"n. 自助洗衣店, 自动洗衣店"
library,"n. 图书馆, 藏书, 库
[计] 库"
movie theater,电影院
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
police station,"警察分局
[法] 警察分局, 派出所"
post office,"邮局
[法] 邮局"
restaurant,[网络] 餐馆
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
shopping mall,n. 大型购物中心
supermarket,超级市场
train station,n. 火车站
video store,音像商店
zoo,"n. 动物园
[网络] 动物园的一天；早前版本的压缩文件；公园"
air conditioner,[化] 空调器; 空气调节器
apartment building, <美>公寓大楼
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
bus stop,公共汽车站
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
elevator,"n. 电梯, 升降机
[化] 提升机"
fire escape,太平门
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
[计] 基底"
jacuzzi,n. 极可意水流按摩浴缸
mailbox,"[计] 电子邮箱, 信箱区"
refrigerator,"n. 电冰箱, 冷藏库
[计] 冷冻机; 致冷器"
stove,"n. 火炉, 窑
vt. 用火炉烤
stave的过去式和过去分词"
superintendent,"n. 监督人, 主管人, 主日学校校长
[经] 监督人, 主管人(部门)"
washing machine,"洗衣机
[化] 洗胶机; 洗涤机"
shirt,"n. 衬衫, 内衣, 汗衫"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
blouse,n. 宽松的上衣
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
tie,"tie
[tai]
vt.
(用绳、带、线等)系，拴，绑，扎：
系紧…的带子；束牢…的带子；捆：
打(结)；把(带等)打结：
把…扎制成：
【钓鱼】制作(假蝇)：
使结合；把…联系在一起：
[口语]使结为夫妻：
限制，约束，束缚：
与…打成平局，平分秋色，(在比赛中)与…得分相等；平…的记录：
【音乐】用连接符号连接(音符)
【铁路】铺设枕木；固定铁轨
vi.
系，扣：
打结；能打结：
(比赛中)打成平局；得分相同：
结合，连接
约束，限制
n.
(系结、拴物用的)带子；绳；索
领带；结饰；蝴蝶结领结
[复数]低帮系带鞋
关系；联系；纽带；友情；血缘关系
限制，束缚
(比赛等)得分相等，平局；(竞争对手)得票相等
【音乐】连结线
[美国英语] 【铁路】枕木 [尤英国英语亦作 sleeper ]
【航海学】 =tye
【建筑业】连系材
近义词:
bind
. attach
. fasten
反义词:
separate
. part
短语:
count (或hit) the ties
[美国俚语]沿铁轨徒步旅行
fit to be tied
[口语]十分恼火
four-in-hand tie
一种活结领带 [亦作 four-in-hand]
hit the ties
= count the ties
old school tie
(英国公学)校友戴的领带
同学情谊
play (或shoot,run) off a tie (或draw)
【体育】平局后再赛(或加赛)以决胜负
ride and tie
见 ride
the silken tie (或bond)
[诗歌用语]情爱的缱绻，情丝
tie one on
[美国俚语]喝醉；闹饮
变形：
vt.
tied
. tying"
belt,"n. 带子, 地带
[医] 带, 腰带, 束带, 地带, 区"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
[化] 发汗器"
pants,[网络] -裤子
jeans,"n. 工装裤, 牛仔裤"
pajamas,"n. 睡衣, 宽松裤, 喇叭裤"
shoes,n. 鞋子（shoe的复数）
socks,"短袜, 袜子, 鞋内的衬垫, 轻软鞋, 巨款, 存款, 存钱处, 银箱, 拳打, 一击, 重击"
shirt,"n. 衬衫, 内衣, 汗衫"
